"";"disp_id";"district_id";"account_id";"client_id";"type.x";"gender";"age";"loan_id";"date";"amount";"duration";"payments";"status";"current_time";"name";"region";"no..of.inhabitants";"no..of.municipalities.with.inhabitants...499";"no..of.municipalities.with.inhabitants.500.1999";"no..of.municipalities.with.inhabitants.2000.9999";"no..of.municipalities.with.inhabitants..10000";"no..of.cities";"ratio.of.urban.inhabitants";"average.salary";"unemploymant.rate..95";"unemploymant.rate..96";"no..of.enterpreneurs.per.1000.inhabitants";"no..of.commited.crimes..95";"no..of.commited.crimes..96";"card_id";"type.y";"issued";"weeks"
"114";4527;1;3752;4527;"OWNER";"1";36;5740;1995-04-02;18564;12;1547;1;192,297619047619;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"115";4529;37;3754;4529;"OWNER";"0";22;5741;1996-11-03;68544;24;2856;1;109,285714285714;"Litomerice";"north Bohemia";114006;71;26;6;2;9;"62.3";9065;"4.46";"5.39";123;4147;4166;NA;NA;NA;NA
"116";4530;37;3754;4530;"DISPONENT";"1";14;5741;1996-11-03;68544;24;2856;1;109,285714285714;"Litomerice";"north Bohemia";114006;71;26;6;2;9;"62.3";9065;"4.46";"5.39";123;4147;4166;NA;NA;NA;NA
"117";4584;7;3804;4584;"OWNER";"1";49;5750;1996-02-08;63252;12;5271;1;147,720238095238;"Melnik";"central Bohemia";94725;38;28;1;3;6;"63.4";9920;"2.26";"2.87";130;4289;4846;NA;NA;NA;NA
"118";4620;54;3834;4620;"OWNER";"1";58;5754;1994-09-28;23052;12;1921;1;218,863095238095;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;"100.0";9897;"1.60";"1.96";140;18721;18696;NA;NA;NA;NA
"119";4621;54;3834;4621;"DISPONENT";"0";53;5754;1994-09-28;23052;12;1921;1;218,863095238095;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;"100.0";9897;"1.60";"1.96";140;18721;18696;NA;NA;NA;NA
"120";4916;52;4079;4916;"OWNER";"0";60;5804;1995-04-05;158976;48;3312;1;191,869047619048;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"121";4918;11;4081;4918;"OWNER";"0";31;5805;1995-11-28;137904;24;5746;-1;158,005952380952;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;"36.5";9622;"0.45";"0.59";154;3475;3529;NA;NA;NA;NA
"122";5133;66;4259;5133;"OWNER";"1";39;5836;1994-08-27;79632;24;3318;1;223,440476190476;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"123";5134;58;4260;5134;"OWNER";"1";31;5837;1994-06-29;244560;60;4076;1;231,869047619048;"Jihlava";"south Moravia";109164;98;16;6;1;4;"63.6";8757;"3.38";"3.95";96;2212;2471;NA;NA;NA;NA
"124";5224;29;4337;5224;"OWNER";"0";49;5861;1994-12-08;51408;24;2142;1;208,720238095238;"Rokycany";"west Bohemia";45714;52;10;5;1;6;"55.6";8843;"2.82";"3.60";113;818;888;NA;NA;NA;NA
"125";5318;74;4413;5318;"OWNER";"0";31;5876;1995-02-08;221280;48;4610;1;199,863095238095;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"126";5319;74;4413;5319;"DISPONENT";"1";34;5876;1995-02-08;221280;48;4610;1;199,863095238095;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"127";5320;17;4414;5320;"OWNER";"1";48;5877;1995-02-23;97224;24;4051;1;197,720238095238;"Pelhrimov";"south Bohemia";74062;99;15;4;2;7;"61.4";8114;"2.38";"2.62";119;1003;1181;NA;NA;NA;NA
"128";5321;17;4414;5321;"DISPONENT";"0";49;5877;1995-02-23;97224;24;4051;1;197,720238095238;"Pelhrimov";"south Bohemia";74062;99;15;4;2;7;"61.4";8114;"2.38";"2.62";119;1003;1181;NA;NA;NA;NA
"129";5333;39;4423;5333;"OWNER";"1";31;5880;1995-10-31;73836;36;2051;1;162,005952380952;"Most";"north Bohemia";119895;17;4;3;2;4;"89.9";10446;"7.34";"9.40";90;4947;4743;NA;NA;NA;NA
"130";5337;1;4427;5337;"OWNER";"0";38;5882;1994-09-26;87816;12;7318;1;219,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"131";5338;1;4427;5338;"DISPONENT";"1";32;5882;1994-09-26;87816;12;7318;1;219,14880952381;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"132";5364;62;4447;5364;"OWNER";"0";35;5886;1996-10-31;192744;36;5354;1;109,714285714286;"Uherske Hradiste";"south Moravia";145688;22;41;13;2;5;"40.7";8544;"1.29";"1.86";109;2719;2906;NA;NA;NA;NA
"133";5365;62;4447;5365;"DISPONENT";"1";28;5886;1996-10-31;192744;36;5354;1;109,714285714286;"Uherske Hradiste";"south Moravia";145688;22;41;13;2;5;"40.7";8544;"1.29";"1.86";109;2719;2906;NA;NA;NA;NA
"134";5366;60;4448;5366;"OWNER";"1";27;5887;1994-10-03;192744;36;5354;1;218,14880952381;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"135";5367;60;4448;5367;"DISPONENT";"0";19;5887;1994-10-03;192744;36;5354;1;218,14880952381;"Prostejov";"south Moravia";110643;49;41;4;1;4;"51.9";8441;"3.45";"4.48";115;1879;2252;NA;NA;NA;NA
"136";5384;73;4462;5384;"OWNER";"0";63;5892;1996-05-14;66480;24;2770;-1;134,005952380952;"Opava";"north Moravia";182027;17;49;12;2;7;"56.4";8746;"3.33";"3.74";90;4355;4433;NA;NA;NA;NA
"137";5399;24;4476;5399;"OWNER";"1";26;5897;1996-09-25;15192;24;633;1;114,863095238095;"Karlovy Vary";"west Bohemia";122603;25;21;6;2;8;"80.0";8991;"1.39";"2.01";128;5198;5273;NA;NA;NA;NA
"138";5433;50;4503;5433;"OWNER";"0";23;5900;1996-01-01;135360;48;2820;1;153,14880952381;"Svitavy";"east Bohemia";102609;75;33;2;3;6;"52.0";8187;"4.83";"5.45";94;2123;2134;783;"junior";1995-10-24;163,005952380952
"139";5517;57;4576;5517;"OWNER";"0";35;5918;1994-06-04;300204;36;8339;1;235,440476190476;"Hodonin";"south Moravia";161954;21;37;20;3;8;"48.0";8720;"3.73";"4.50";116;3729;3651;NA;NA;NA;NA
"140";5521;9;4580;5521;"OWNER";"1";26;5922;1995-08-05;20220;12;1685;1;174,440476190476;"Nymburk";"central Bohemia";81344;61;23;4;2;6;"55.3";8899;"3.39";"3.97";149;2987;2487;NA;NA;NA;NA
"141";5526;27;4585;5526;"OWNER";"0";52;5923;1996-10-10;64656;48;1347;1;112,720238095238;"Plzen - jih";"west Bohemia";67298;71;19;10;0;7;"43.8";8561;"0.65";"1.29";110;1029;1127;NA;NA;NA;NA
"142";5527;27;4585;5527;"DISPONENT";"1";57;5923;1996-10-10;64656;48;1347;1;112,720238095238;"Plzen - jih";"west Bohemia";67298;71;19;10;0;7;"43.8";8561;"0.65";"1.29";110;1029;1127;NA;NA;NA;NA
"143";5606;4;4650;5606;"OWNER";"0";18;5938;1996-08-25;402000;60;6700;1;119,291666666667;"Kladno";"central Bohemia";149893;63;29;6;2;6;"67.4";9753;"4.64";"5.05";109;5244;5892;NA;NA;NA;NA
"144";5701;2;4727;5701;"OWNER";"1";39;5959;1995-08-11;107640;24;4485;1;173,583333333333;"Benesov";"central Bohemia";88884;80;26;6;2;5;"46.7";8507;"1.67";"1.85";132;2159;2674;NA;NA;NA;NA
"145";5760;66;4774;5760;"OWNER";"0";51;5970;1995-07-09;465072;48;9689;1;178,297619047619;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"146";5761;66;4774;5761;"DISPONENT";"1";57;5970;1995-07-09;465072;48;9689;1;178,297619047619;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"147";5826;15;4825;5826;"OWNER";"0";30;5980;1995-08-18;21396;12;1783;1;172,583333333333;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;"51.9";9045;"3.13";"3.60";124;1845;1879;NA;NA;NA;NA
"148";5827;15;4825;5827;"DISPONENT";"1";24;5980;1995-08-18;21396;12;1783;1;172,583333333333;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;"51.9";9045;"3.13";"3.60";124;1845;1879;NA;NA;NA;NA
"149";5858;52;4851;5858;"OWNER";"0";46;5988;1996-08-22;141648;24;5902;1;119,720238095238;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"150";5859;52;4851;5859;"DISPONENT";"1";54;5988;1996-08-22;141648;24;5902;1;119,720238095238;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"151";5860;47;4852;5860;"OWNER";"0";35;5989;1996-03-04;213300;36;5925;1;144,14880952381;"Pardubice";"east Bohemia";162580;83;26;5;1;6;"72.8";9538;"1.51";"1.81";111;6079;5410;NA;NA;NA;NA
"152";5911;14;4894;5911;"OWNER";"0";63;5997;1993-11-04;117024;24;4876;1;265,720238095238;"Ceske Budejovice";"south Bohemia";177686;69;27;10;1;9;"74.8";10045;"1.42";"1.71";135;6604;6295;NA;NA;NA;NA
"153";5928;42;4907;5928;"OWNER";"1";28;5999;1996-01-03;98832;48;2059;1;152,863095238095;"Havlickuv Brod";"east Bohemia";95907;87;25;5;2;7;"59.1";8388;"2.41";"2.94";87;1658;1668;NA;NA;NA;NA
"154";5965;50;4937;5965;"OWNER";"0";48;6004;1994-07-23;143904;24;5996;1;228,440476190476;"Svitavy";"east Bohemia";102609;75;33;2;3;6;"52.0";8187;"4.83";"5.45";94;2123;2134;NA;NA;NA;NA
"155";5977;43;4948;5977;"OWNER";"0";19;6006;1996-11-15;359760;60;5996;1;107,571428571429;"Hradec Kralove";"east Bohemia";161854;73;21;6;1;6;"76.3";9425;"1.72";"2.50";125;4085;3891;NA;NA;NA;NA
"156";6015;54;4981;6015;"OWNER";"0";25;6011;1996-11-28;179328;48;3736;1;105,714285714286;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;"100.0";9897;"1.60";"1.96";140;18721;18696;NA;NA;NA;NA
"157";6033;1;4994;6033;"OWNER";"0";32;6012;1996-08-03;258444;36;7179;1;122,434523809524;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"158";6034;20;4995;6034;"OWNER";"0";59;6013;1996-02-03;128988;36;3583;-1;148,434523809524;"Strakonice";"south Bohemia";70646;94;14;3;1;4;"58.4";8547;"2.65";"3.64";120;1563;1542;NA;NA;NA;NA
"159";6042;53;5001;6042;"OWNER";"0";35;6015;1996-11-09;110112;24;4588;1;108,428571428571;"Blansko";"south Moravia";107911;88;33;6;2;7;"50.9";8240;"2.53";"3.56";99;1850;1903;NA;NA;NA;NA
"160";6077;54;5033;6077;"OWNER";"1";19;6019;1996-07-25;11400;12;950;1;123,720238095238;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;"100.0";9897;"1.60";"1.96";140;18721;18696;NA;NA;NA;NA
"161";6115;13;5066;6115;"OWNER";"1";45;6027;1996-02-10;61656;24;2569;-1;147,434523809524;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;"41.3";8598;"2.77";"3.26";123;1597;1875;NA;NA;NA;NA
"162";6178;1;5120;6178;"OWNER";"1";58;6038;1994-08-10;323472;48;6739;1;225,869047619048;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"163";6185;58;5126;6185;"OWNER";"1";51;6043;1996-01-11;20352;48;424;1;151,720238095238;"Jihlava";"south Moravia";109164;98;16;6;1;4;"63.6";8757;"3.38";"3.95";96;2212;2471;NA;NA;NA;NA
"164";6186;58;5126;6186;"DISPONENT";"0";46;6043;1996-01-11;20352;48;424;1;151,720238095238;"Jihlava";"south Moravia";109164;98;16;6;1;4;"63.6";8757;"3.38";"3.95";96;2212;2471;NA;NA;NA;NA
"165";6299;1;5213;6299;"OWNER";"0";62;6063;1996-04-25;320976;48;6687;-1;136,720238095238;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"166";6301;55;5215;6301;"OWNER";"1";50;6064;1994-08-04;14628;12;1219;1;226,72619047619;"Brno - venkov";"south Moravia";157042;49;70;18;0;9;"33.9";8743;"1.88";"2.43";111;3659;3894;NA;NA;NA;NA
"167";6317;77;5228;6317;"OWNER";"1";42;6066;1994-07-11;173808;24;7242;1;230,154761904762;"Vsetin";"north Moravia";148545;8;35;12;3;4;"53.5";8909;"4.01";"5.56";113;3460;3590;NA;NA;NA;NA
"168";6318;77;5228;6318;"DISPONENT";"0";49;6066;1994-07-11;173808;24;7242;1;230,154761904762;"Vsetin";"north Moravia";148545;8;35;12;3;4;"53.5";8909;"4.01";"5.56";113;3460;3590;NA;NA;NA;NA
"169";6349;72;5256;6349;"OWNER";"0";26;6072;1994-05-10;193968;36;5388;1;239,011904761905;"Olomouc";"north Moravia";226122;32;50;7;4;4;"62.6";8994;"3.80";"4.79";110;9672;9208;NA;NA;NA;NA
"170";6359;64;5263;6359;"OWNER";"0";22;6073;1996-11-12;276300;60;4605;1;108;"Zlin";"south Moravia";197099;29;41;10;2;10;"74.7";9624;"1.60";"2.31";145;4484;4265;NA;NA;NA;NA
"171";6367;44;5270;6367;"OWNER";"0";29;6077;1993-11-22;79608;24;3317;1;263,14880952381;"Chrudim";"east Bohemia";105606;77;26;7;2;7;"53.0";8254;"2.79";"3.76";97;2166;2325;NA;NA;NA;NA
"172";6417;40;5313;6417;"OWNER";"0";49;6087;1994-02-27;300660;60;5011;1;249,291666666667;"Teplice";"north Bohemia";128118;9;16;6;3;8;"85.3";9317;"6.49";"7.07";97;6949;6872;NA;NA;NA;NA
"173";6499;44;5385;6499;"OWNER";"0";36;6103;1994-04-07;149340;60;2489;1;243,72619047619;"Chrudim";"east Bohemia";105606;77;26;7;2;7;"53.0";8254;"2.79";"3.76";97;2166;2325;NA;NA;NA;NA
"174";6544;66;5422;6544;"OWNER";"0";24;6109;1996-06-03;368880;60;6148;1;131,14880952381;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"175";6545;66;5422;6545;"DISPONENT";"1";20;6109;1996-06-03;368880;60;6148;1;131,14880952381;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;"48.3";8512;"3.51";"4.12";102;2247;2103;NA;NA;NA;NA
"176";6551;24;5428;6551;"OWNER";"1";50;6111;1993-09-24;174744;24;7281;-1;271,583333333333;"Karlovy Vary";"west Bohemia";122603;25;21;6;2;8;"80.0";8991;"1.39";"2.01";128;5198;5273;NA;NA;NA;NA
"177";6567;5;5442;6567;"OWNER";"1";20;6112;1994-06-17;174744;24;7281;-1;233,583333333333;"Kolin";"central Bohemia";95616;65;30;4;1;6;"51.4";9307;"3.85";"4.43";118;2616;3040;NA;NA;NA;NA
"178";6616;1;5481;6616;"OWNER";"0";45;6120;1994-09-11;209184;48;4358;1;221,297619047619;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"179";6691;43;5541;6691;"OWNER";"0";56;6130;1996-07-18;32640;48;680;1;124,720238095238;"Hradec Kralove";"east Bohemia";161854;73;21;6;1;6;"76.3";9425;"1.72";"2.50";125;4085;3891;NA;NA;NA;NA
"180";6731;13;5574;6731;"OWNER";"0";55;6137;1996-04-10;44628;12;3719;1;138,863095238095;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;"41.3";8598;"2.77";"3.26";123;1597;1875;NA;NA;NA;NA
"181";6753;15;5593;6753;"OWNER";"0";36;6144;1996-08-09;44376;12;3698;1;121,577380952381;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;"51.9";9045;"3.13";"3.60";124;1845;1879;NA;NA;NA;NA
"182";6789;57;5622;6789;"OWNER";"0";20;6150;1994-11-02;83016;12;6918;1;213,863095238095;"Hodonin";"south Moravia";161954;21;37;20;3;8;"48.0";8720;"3.73";"4.50";116;3729;3651;NA;NA;NA;NA
"183";6798;61;5628;6798;"OWNER";"1";50;6151;1995-04-25;225420;60;3757;1;189,011904761905;"Trebic";"south Moravia";117897;139;28;5;1;6;"53.8";8814;"4.76";"5.74";107;2112;2059;NA;NA;NA;NA
"184";6803;5;5632;6803;"OWNER";"1";18;6153;1995-07-25;285600;60;4760;1;176,011904761905;"Kolin";"central Bohemia";95616;65;30;4;1;6;"51.4";9307;"3.85";"4.43";118;2616;3040;NA;NA;NA;NA
"185";6804;5;5632;6804;"DISPONENT";"0";17;6153;1995-07-25;285600;60;4760;1;176,011904761905;"Kolin";"central Bohemia";95616;65;30;4;1;6;"51.4";9307;"3.85";"4.43";118;2616;3040;NA;NA;NA;NA
"186";6829;10;5650;6829;"OWNER";"1";35;6157;1995-07-10;98592;24;4108;1;178,154761904762;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;"46.7";10124;"0.56";"0.54";141;3810;4316;NA;NA;NA;NA
"187";6895;42;5700;6895;"OWNER";"0";27;6169;1995-03-16;103680;60;1728;-1;194,720238095238;"Havlickuv Brod";"east Bohemia";95907;87;25;5;2;7;"59.1";8388;"2.41";"2.94";87;1658;1668;NA;NA;NA;NA
"188";6936;52;5735;6936;"OWNER";"1";40;6175;1996-02-21;290700;60;4845;-1;145,863095238095;"Usti nad Orlici";"east Bohemia";139012;59;41;8;3;10;"61.9";8363;"2.52";"3.49";108;2564;2799;NA;NA;NA;NA
"189";6946;74;5742;6946;"OWNER";"1";29;6178;1995-12-16;232560;48;4845;1;155,434523809524;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"190";6987;1;5774;6987;"OWNER";"0";31;6185;1995-11-28;31176;24;1299;1;158,005952380952;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"191";7010;70;5794;7010;"OWNER";"0";31;6190;1996-05-06;123600;60;2060;1;135,14880952381;"Karvina";"north Moravia";285387;0;2;8;5;7;"89.9";10177;"6.63";"7.75";81;9878;10108;NA;NA;NA;NA
"192";7011;70;5794;7011;"DISPONENT";"1";38;6190;1996-05-06;123600;60;2060;1;135,14880952381;"Karvina";"north Moravia";285387;0;2;8;5;7;"89.9";10177;"6.63";"7.75";81;9878;10108;NA;NA;NA;NA
"193";7127;3;5891;7127;"OWNER";"0";41;6202;1994-04-18;65184;12;5432;1;242,154761904762;"Beroun";"central Bohemia";75232;55;26;4;1;5;"41.7";8980;"1.95";"2.21";111;2824;2813;NA;NA;NA;NA
"194";7166;15;5927;7166;"OWNER";"0";35;6210;1994-06-06;87216;48;1817;-1;235,154761904762;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;"51.9";9045;"3.13";"3.60";124;1845;1879;NA;NA;NA;NA
"195";7195;50;5952;7195;"OWNER";"0";36;6216;1994-09-30;141240;24;5885;1;218,577380952381;"Svitavy";"east Bohemia";102609;75;33;2;3;6;"52.0";8187;"4.83";"5.45";94;2123;2134;NA;NA;NA;NA
"196";7241;57;5991;7241;"OWNER";"1";41;6223;1994-11-03;61056;48;1272;1;213,720238095238;"Hodonin";"south Moravia";161954;21;37;20;3;8;"48.0";8720;"3.73";"4.50";116;3729;3651;NA;NA;NA;NA
"197";7286;47;6030;7286;"OWNER";"1";29;6227;1995-03-04;28248;24;1177;1;196,434523809524;"Pardubice";"east Bohemia";162580;83;26;5;1;6;"72.8";9538;"1.51";"1.81";111;6079;5410;NA;NA;NA;NA
"198";7291;77;6034;7291;"OWNER";"1";58;6228;1993-12-01;464520;60;7742;-1;261,863095238095;"Vsetin";"north Moravia";148545;8;35;12;3;4;"53.5";8909;"4.01";"5.56";113;3460;3590;NA;NA;NA;NA
"199";7299;1;6040;7299;"OWNER";"0";60;6229;1994-10-02;11736;24;489;1;218,291666666667;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"200";7311;56;6051;7311;"OWNER";"0";49;6232;1994-07-08;276660;36;7685;-1;230,583333333333;"Breclav";"south Moravia";124605;11;42;14;1;8;"46.0";8772;"4.69";"4.98";126;2854;3158;NA;NA;NA;NA
"201";7390;1;6118;7390;"OWNER";"0";61;6244;1995-01-08;270648;36;7518;-1;204,291666666667;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"202";7422;74;6148;7422;"OWNER";"0";40;6253;1994-11-04;59760;24;2490;1;213,577380952381;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"203";7423;74;6148;7423;"DISPONENT";"1";34;6253;1994-11-04;59760;24;2490;1;213,577380952381;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"204";7521;74;6226;7521;"OWNER";"1";39;6272;1994-12-20;398640;60;6644;1;207,005952380952;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"205";7576;38;6273;7576;"OWNER";"0";36;6279;1994-06-07;87360;24;3640;1;235,011904761905;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"206";7594;64;6289;7594;"OWNER";"1";50;6283;1996-08-11;85632;48;1784;1;121,291666666667;"Zlin";"south Moravia";197099;29;41;10;2;10;"74.7";9624;"1.60";"2.31";145;4484;4265;NA;NA;NA;NA
"207";7672;26;6353;7672;"OWNER";"0";46;6294;1995-02-12;79920;60;1332;1;199,291666666667;"Plzen - mesto";"west Bohemia";170449;0;0;0;1;1;"100.0";10787;"2.64";"3.09";131;6041;6261;NA;NA;NA;NA
"208";7678;3;6358;7678;"OWNER";"0";37;6296;1996-08-06;270384;48;5633;1;122,005952380952;"Beroun";"central Bohemia";75232;55;26;4;1;5;"41.7";8980;"1.95";"2.21";111;2824;2813;NA;NA;NA;NA
"209";7683;12;6363;7683;"OWNER";"0";53;6297;1994-10-25;17508;12;1459;1;215,005952380952;"Pribram";"central Bohemia";107870;84;29;6;1;6;"58.0";8754;"3.83";"4.31";137;3804;3868;NA;NA;NA;NA
"210";7723;48;6397;7723;"OWNER";"1";32;6302;1996-09-16;181020;60;3017;1;116,14880952381;"Rychnov nad Kneznou";"east Bohemia";78955;50;24;8;1;9;"59.0";9060;"1.78";"2.44";124;1655;1717;NA;NA;NA;NA
"211";7724;48;6397;7724;"DISPONENT";"0";31;6302;1996-09-16;181020;60;3017;1;116,14880952381;"Rychnov nad Kneznou";"east Bohemia";78955;50;24;8;1;9;"59.0";9060;"1.78";"2.44";124;1655;1717;NA;NA;NA;NA
"212";7727;31;6400;7727;"OWNER";"1";40;6303;1996-02-12;72408;24;3017;-1;147,14880952381;"Tachov";"west Bohemia";51313;34;12;3;1;4;"59.2";8930;"3.52";"4.20";108;1328;1452;NA;NA;NA;NA
"213";7753;70;6425;7753;"OWNER";"1";20;6306;1994-12-20;36684;12;3057;1;207,005952380952;"Karvina";"north Moravia";285387;0;2;8;5;7;"89.9";10177;"6.63";"7.75";81;9878;10108;NA;NA;NA;NA
"214";7765;1;6434;7765;"OWNER";"1";41;6309;1996-11-11;110136;24;4589;1;108,142857142857;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;"100.0";12541;"0.29";"0.43";167;85677;99107;NA;NA;NA;NA
"215";7814;61;6472;7814;"OWNER";"1";23;6315;1995-02-06;43164;12;3597;1;200,14880952381;"Trebic";"south Moravia";117897;139;28;5;1;6;"53.8";8814;"4.76";"5.74";107;2112;2059;NA;NA;NA;NA
"216";7815;4;6473;7815;"OWNER";"1";53;6316;1994-05-26;76908;12;6409;-1;236,72619047619;"Kladno";"central Bohemia";149893;63;29;6;2;6;"67.4";9753;"4.64";"5.05";109;5244;5892;NA;NA;NA;NA
"217";7914;38;6555;7914;"OWNER";"1";32;6336;1994-03-31;212400;36;5900;1;244,72619047619;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"218";7980;16;6609;7980;"OWNER";"0";22;6342;1995-11-12;60156;36;1671;-1;160,291666666667;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;"56.9";8427;"1.12";"1.54";107;1874;1913;NA;NA;NA;NA
"219";8076;16;6688;8076;"OWNER";"1";48;6354;1996-10-23;22968;36;638;1;110,863095238095;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;"56.9";8427;"1.12";"1.54";107;1874;1913;NA;NA;NA;NA
"220";8091;5;6701;8091;"OWNER";"0";28;6356;1993-12-08;95400;36;2650;1;260,863095238095;"Kolin";"central Bohemia";95616;65;30;4;1;6;"51.4";9307;"3.85";"4.43";118;2616;3040;NA;NA;NA;NA
"221";8105;72;6715;8105;"OWNER";"0";36;6358;1995-01-14;137880;60;2298;-1;203,434523809524;"Olomouc";"north Moravia";226122;32;50;7;4;4;"62.6";8994;"3.80";"4.79";110;9672;9208;NA;NA;NA;NA
"222";8130;62;6738;8130;"OWNER";"1";23;6362;1995-10-31;37908;12;3159;1;162,005952380952;"Uherske Hradiste";"south Moravia";145688;22;41;13;2;5;"40.7";8544;"1.29";"1.86";109;2719;2906;NA;NA;NA;NA
"223";8359;74;6924;8359;"OWNER";"0";19;6403;1995-12-05;194880;48;4060;1;157,005952380952;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;"100.0";10673;"4.75";"5.44";100;18782;18347;NA;NA;NA;NA
"224";8366;41;6930;8366;"OWNER";"1";38;6407;1994-05-26;25944;24;1081;1;236,72619047619;"Usti nad Labem";"north Bohemia";118650;8;8;5;1;3;"85.6";9832;"3.32";"4.48";114;6445;5471;NA;NA;NA;NA
"225";8432;38;6985;8432;"OWNER";"1";31;6421;1996-07-25;96768;36;2688;1;123,720238095238;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"226";8433;38;6985;8433;"DISPONENT";"0";37;6421;1996-07-25;96768;36;2688;1;123,720238095238;"Louny";"north Bohemia";85852;41;23;4;2;4;"59.8";8965;"7.08";"8.23";104;2653;2822;NA;NA;NA;NA
"227";8598;46;7123;8598;"OWNER";"1";41;6456;1993-12-09;47016;12;3918;1;260,720238095238;"Nachod";"east Bohemia";112709;48;20;7;3;10;"73.5";8369;"1.79";"2.31";117;2854;2618;NA;NA;NA;NA
